"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0, ,Nicaragua
Bonnat,Selva Maya,1912,2016,75%,France,3.5, ,Mexico
hexx,Ecuador,1550,2015,73%,U.S.A.,3.25, ,Ecuador
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75, ,Guatemala
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70%,Mexico,2.75,Criollo,Mexico
K'ul,"Maranon, Fortunato No. 4",1852,2016,70%,U.S.A.,2.75,Forastero (Nacional),Peru
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico
Momotombo,Mombacho,661,2011,70%,Nicaragua,2.75, ,Nicaragua
Republica del Cacao (aka Confecta),El Oro,147,2007,67%,Ecuador,3.5,Forastero (Arriba),Ecuador
Tejas,Capistrano*,829,2012,70%,U.S.A.,3.0, ,Madagascar
Svenska Kakaobolaget,Sri Lanka,1618,2015,70%,Sweden,2.75,"Criollo, Trinitario",Sri Lanka
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Trinitario,Indonesia
Soma,Cahabon Region,951,2012,70%,Canada,3.5,Trinitario,Guatemala
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3.0,Trinitario,Madagascar
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, 
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5, , 
Montecristi,Manabi,1654,2015,63%,Ecuador,3.5, ,Ecuador
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend, 
Guido Castagna,Arriba,355,2009,64%,Italy,3.0,Forastero (Arriba) ASS,Ecuador
Madre,Puerto Rico,1085,2013,70%,U.S.A.,2.75, ,Puerto Rico
Emerald Estate,Emerald Estate,1137,2013,60%,St. Lucia,2.75, ,St. Lucia
Starchild,Hispaniola,1692,2015,70%,U.S.A.,3.0, ,Domincan Republic
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72%,U.S.A.,3.0, ,Hawaii
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4.0,Trinitario,Peru
Ah Cacao,Tabasco,316,2009,70%,Mexico,3.0,Criollo,Mexico
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii
TCHO,Peru- Ecuador,915,2012,99%,U.S.A.,3.25, ,"Peru, Ecuador"
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3.0,Trinitario,Jamaica
Valrhona,Nyangbo,395,2009,68%,France,3.5,Forastero,Ghana
Violet Sky,Peru,1458,2015,77%,U.S.A.,3.25,"Criollo, Trinitario",Peru
Cacao Store,Vietnam,1684,2015,70%,Japan,3.5,Trinitario,Vietnam
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75, ,Brazil
French Broad,San Andres,1209,2014,80%,U.S.A.,3.0, ,Costa Rica
Valrhona,"Porcelana, Pedegral",757,2011,64%,France,4.0,Criollo,Venezuela
Kto,Ocumare,1422,2014,72%,U.S.A.,2.75, ,Venezuela
Coppeneur,Ocumare 61,558,2010,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Theo,Ivory Coast,184,2007,75%,U.S.A.,2.5, ,Ivory Coast
Kyya,Uganda,1359,2014,72.5%,U.S.A.,2.5,Forastero,Uganda
Madre,"Choobua, Kona",1089,2013,70%,U.S.A.,2.75, ,Hawaii
Letterpress,San Andres,1566,2015,70%,U.S.A.,3.0, ,Costa Rica
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",1820,2016,62%,Canada,3.5, ,Domincan Republic
Ocho,Sang Yum Coop,1760,2016,70%,New Zealand,3.5, ,Samoa
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar
Sirene,"Camino Verde P., Balao, Guayas",1343,2014,73%,Canada,3.75, ,Ecuador
Palette de Bine,Kokoa Kamili,1574,2015,72%,Canada,3.5, ,Tanzania
Ocho,"PNG, Nib Bar",1411,2014,74%,New Zealand,3.5, ,Papua New Guinea
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5, ,Brazil
Pralus,Trinidad,5,2006,75%,France,3.5,Trinitario,Trinidad
Dandelion,Upala,805,2012,70%,U.S.A.,3.0, ,Costa Rica
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic
Malmo,Chuao,1856,2016,70%,Sweden,3.0, ,Venezuela
Bright,Marabel Farms,1231,2014,70%,Australia,3.5, ,Dominican Republic
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii
Kyya,Ecuador,1363,2014,72.5%,U.S.A.,2.5, ,Ecuador
A. Morin,Akata,1680,2015,70%,France,3.5, ,Togo
Parliament,"Lachua, Q'egchi families",1542,2015,70%,U.S.A.,3.5, ,Guatemala
Kallari (Ecuatoriana),Roberto,245,2008,75%,Ecuador,2.75, ,Ecuador
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5, ,Brazil
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5, ,Nicaragua
Cacao Barry,Venezuela,141,2007,72%,France,2.0, ,Venezuela
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela
Terroir,Madagascar,1323,2014,67%,U.S.A.,3.75,Trinitario,Madagascar
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad
Cello,Bolivia,1251,2014,70%,U.S.A.,3.0, ,Bolivia
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5, ,Costa Rica
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3.0, ,Dominican Republic
Marsatta,Dominican Republic,1189,2013,74%,U.S.A.,2.25, ,Dominican Republic
Peppalo,Dominican Republic,1454,2015,82%,U.S.A.,3.0, ,Dominican Republic
Palette de Bine,Gran Couva,1399,2014,70%,Canada,3.75,Trinitario,Trinidad
Woodblock,"Maranon, Cajamarca",1243,2014,70%,U.S.A.,3.0,Forastero (Nacional),Peru
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78%,Lithuania,3.75,Forastero (Nacional),Peru
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4.0, ,Ecuador
Santander (Compania Nacional),Colombian Semi Dark,32,2006,53%,Colombia,2.0,Forastero (Nacional),Colombia
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3.25, ,Panama
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador
Meadowlands,Belize,1287,2014,70%,U.S.A.,3.0,Trinitario,Belize
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5, ,Guatemala
Cravve,Vanuatu,975,2012,64%,Australia,3.25,Trinitario,Vanuatu
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75, ,Colombia
Isidro,Belize,1279,2014,72%,U.S.A.,3.25,Trinitario,Belize
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji
Tablette (aka Vanillabeans),Papua,1450,2015,62%,Japan,3.25, ,Papua New Guinea
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70%,Canada,3.0,"Criollo, Trinitario",Bolivia
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75, ,Dominican Republic
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Damson,Robson Estate,1610,2015,70%,U.K.,3.0,Trinitario,Trinidad
Cravve,Djual Island,975,2012,75%,Australia,3.5,Forastero,Papua New Guinea
Cacao Barry,Mexico,147,2007,66%,France,3.0, ,Mexico
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75, ,Peru
Q Chocolate,Brazil,1069,2013,55%,Brazil,2.75, ,Brazil
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador
Vintage Plantations,San Martin,1205,2014,75%,U.S.A.,3.0, ,Peru
Mutari,"Ambanja, batch 1 SRB",1900,2016,68%,U.S.A.,2.75, ,Madagascar
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5, ,"Peru, Madagascar"
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75, ,Venezuela
Soma,Papua New Guinea,983,2012,85%,Canada,3.5,Trinitario,Papua New Guinea
Zotter,El Oro,879,2012,75%,Austria,3.0,Forastero (Nacional),Ecuador
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador
Amedei,Toscano Black,40,2006,70%,Italy,5.0,Blend, 
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25, ,Venezuela
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68%,Madagascar,3.0,Trinitario,Madagascar
Martin Mayer,Tumaco,1836,2016,74%,Austria,3.25, ,Colombia
Menakao (aka Cinagra),Madagascar,841,2012,72%,Madagascar,2.5,Trinitario,Madagascar
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5, ,Mexico
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru
Zak's,"Peru, Batch 1",1578,2015,70%,U.S.A.,3.25, ,Peru
S.A.I.D.,100 percent,615,2010,100%,Italy,1.5, , 
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75, ,Madagascar
Sacred,Midnight,813,2012,83%,U.S.A.,2.75, ,Central and S. America
Muchomas (Mesocacao),Nicaragua,1462,2015,70%,U.S.A.,3.5, ,Nicaragua
Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,75%,U.S.A.,3.25,Forastero (Nacional),Peru
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea
Lillie Belle,La Selva,903,2012,68%,U.S.A.,3.75, ,Peru
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,70%,Ecuador,4.0, ,Colombia
Ocho,"PNG, Revolution",1411,2014,70%,New Zealand,3.0, ,Papua New Guinea
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70%,France,4.0,Trinitario,Tobago
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5, ,Nicaragua
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana
Santome,Sao Tome,761,2011,70%,France,2.75,Forastero,Sao Tome
Sibu,Oro,1586,2015,82%,Costa Rica,3.25, ,Costa Rica
Middlebury,Belize,1117,2013,80%,U.S.A.,3.25,Trinitario,Belize
Scharffen Berger,Cuyagua,135,2007,75%,U.S.A.,3.75, ,Venezuela
Scharffen Berger,Markham Valley,781,2011,68%,U.S.A.,3.75, ,Papua New Guinea
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70%,Madagascar,3.0,Trinitario,Madagascar
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica
Soma,Chuao,688,2011,70%,Canada,3.5,Criollo,Venezuela
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75%,U.S.A.,3.75, ,Hawaii
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Dandelion,Colombian,805,2012,70%,U.S.A.,3.25, ,Colombia
Woodblock,Costa Rica,825,2012,70%,U.S.A.,3.0, ,Costa Rica
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5, ,Ecuador
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75%,U.K.,2.75, ,Tanzania
Shark's,Hilo,713,2011,73%,U.S.A.,2.0, ,Hawaii
Guido Castagna,Trinidad & Tobago,355,2009,64%,Italy,3.0, ,"Trinidad, Tobago"
L.A. Burdick (Felchlin),Venzuela,597,2010,71%,U.S.A.,3.0, ,Venezuela
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba
Wm,"Ghana, 2013, batch 129",1916,2016,75%,U.S.A.,3.75, ,Ghana
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75, ,Dominican Republic
Soma,Papua New Guinea,387,2009,70%,Canada,3.5,Trinitario,Papua New Guinea
Sirene,"Somia Plantation, 2012",1339,2014,73%,Canada,3.75,Trinitario,Madagascar
Palette de Bine,"Alto Beni, Palos Blancos",1239,2014,72%,Canada,2.75, ,Bolivia
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,70%,Canada,4.0,,"Ven, Bolivia, D.R."
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar
Willie's Cacao,Java,593,2010,69%,U.K.,3.75, ,Indonesia
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon mix,Costa Rica
Pralus,Sao Tome & Principe,5,2006,75%,France,3.5,Forastero,Sao Tome & Principe
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25, , 
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru
Olivia,Carribean-Raw,688,2011,85%,Canada,3.0, ,Carribean
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize
Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75%,Ecuador,2.5, ,Ecuador
Marou,"Tien Giang, Gao Co-op",845,2012,70%,Vietnam,3.5,Trinitario,Vietnam
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil
twenty-four blackbirds,"Cedeno, lot 271",1700,2015,75%,U.S.A.,3.5, ,Ecuador
Soul,Dominican Republic,1932,2017,70%,Canada,3.25, ,Dominican Republic
Patric,"Rio Caribe, Paria Penninsula",439,2009,70%,U.S.A.,3.5,Trinitario,Venezuela
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75, ,Nicaragua
Shattel,Tingo Maria,1884,2016,70%,Peru,3.25, ,Peru
Mana,Venezuela,1219,2014,74%,U.S.A.,2.75, ,Venezuela
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3.0, ,Dominican Republic
Lillie Belle,Purple Haze,947,2012,75%,U.S.A.,2.75, ,"Venezuela, Dom. Rep."
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Soul,Madagascar,1936,2017,70%,Canada,3.5, ,Madagascar
Vanleer (Barry Callebaut),Napa,963,2012,65%,U.S.A.,2.75,Forastero,Ghana
Theo,"Ghana, Panama, Ecuador",188,2007,75%,U.S.A.,3.0,Blend,"Ghana, Panama, Ecuador"
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5, ,Bolivia
Wilkie's Organic,Tumbes,1169,2013,75%,Ireland,3.25,Criollo,Peru
Scharffen Berger,Amina,464,2010,65%,U.S.A.,3.75,"Trinitario, Criollo",Madagascar
"Smooth Chocolator, The",Akesson's Estate,1618,2015,65%,Australia,3.25,Trinitario,Madagascar
Q Chocolate,Brazil,935,2012,65%,Brazil,3.25, ,Brazil
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Ocho,"PNG, Devotion",1411,2014,66%,New Zealand,2.75, ,Papua New Guinea
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada
Machu Picchu Trading Co.,Peru,552,2010,55%,Peru,2.25, ,Peru
Zak's,"House Blend, Batch 2",1582,2015,60%,U.S.A.,3.0, , 
Amedei,Madagascar,123,2007,70%,Italy,4.0,Trinitario (85% Criollo),Madagascar
Soma,Conacado,387,2009,70%,Canada,3.0,Trinitario,Dominican Republic
SRSLY,Dominican Republic,1113,2013,70%,U.S.A.,3.0, ,Dominican Republic
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3.0,Criollo,Peru
Rozsavolgyi,Principe,765,2011,77%,Hungary,2.75,Forastero,Principe
Nuance,"Ecuador, 2013",1458,2015,70%,U.S.A.,2.75,Trinitario,Ecuador
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Amano,Cuyagua,147,2007,70%,U.S.A.,3.0, ,Venezuela
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2.0,Forastero (Arriba),Ecuador
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62%,U.S.A.,2.5, ,"Venezuela, Trinidad"
Valrhona,Alpaco,370,2009,66%,France,3.75, ,Ecuador
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela
Shark Mountain,"Belize, 2013",1335,2014,72%,U.S.A.,3.25,"Criollo, Trinitario",Belize
Wellington Chocolate Factory,"Piura Blanco, Norandino",1756,2016,70%,New Zealand,3.5, ,Peru
Menakao (aka Cinagra),Madagascar,837,2012,80%,Madagascar,2.5,Trinitario,Madagascar
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75, ,Colombia
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75%,Madagascar,3.25,Trinitario,Madagascar
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4.0,Criollo,Guatemala
Stone Grindz,"Ecuador, Twilght Dark",1291,2014,70%,U.S.A.,3.5, ,Ecuador
Original Beans (Felchlin),Papua Kerafat,1438,2014,68%,Switzerland,2.75, ,Papua New Guinea
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Holy Cacao,Maranon,1872,2016,70%,Israel,2.75, ,Peru
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Forastero (Arriba),Ecuador
Ambrosia,Belize,1494,2015,64%,Canada,3.0,Trinitario,Belize
"Smooth Chocolator, The",Australia,1864,2016,67%,Australia,3.75, ,Australia
Zart Pralinen,San Juan Estate,1824,2016,85%,Austria,2.75,Trinitario,Trinidad
Neuhaus (Callebaut),Manickchand Estate,230,2008,67%,Belgium,3.75,Trinitario,Trinidad
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Rozsavolgyi,Porcelana,717,2011,71%,Hungary,2.5, ,Venezuela
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,La Red,785,2011,65%,U.S.A.,3.5, ,Dominican Republic
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75%,France,3.75,Trinitario,Vietnam
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica
Tejas,Concepcion,801,2012,70%,U.S.A.,2.75, ,Madagascar
Michel Cluizel,Maralumi P.,24,2006,64%,France,4.0, ,Papua New Guinea
Park 75,South America,1363,2014,65%,U.S.A.,3.5, ,South America
Pacari,Cumbia,1415,2014,70%,Ecuador,3.5, ,Ecuador
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25, ,Madagascar
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3.0, ,Papua New Guinea
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.0,Trinitario,Dominican Republic
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
Holy Cacao,San Martin,431,2009,70%,Israel,3.5, ,Peru
Danta,Los Ujuxtes,661,2011,60%,Guatemala,3.5, ,Guatemala
Rozsavolgyi,Carenero Superior,713,2011,73%,Hungary,3.5,Criollo,Venezuela
hello cocoa,Uganda,1458,2015,57%,U.S.A.,2.75,Forastero,Uganda
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5, ,Ecuador
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5, ,Ivory Coast
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5, ,Dominican Republic
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75, ,Peru
Amedei,Jamaica,123,2007,70%,Italy,3.0,Trinitario,Jamaica
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru
Spagnvola,AgroCriso Plantation,793,2012,80%,U.S.A.,3.0, ,Dominican Republic
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25, ,Nicaragua
Valrhona,Le Noir Extra Amer,147,2007,85%,France,1.5, , 
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75, ,Guatemala
Sirene,Kokoa Kamili Coop,1856,2016,73%,Canada,3.5, ,Tanzania
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75%,France,2.75,Trinitario,Madagascar
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5, ,Dominican Republic
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru
Silvio Bessone,"Porcelana, Colombia, Amazonas",741,2011,68%,Italy,3.0,"Criollo, Trinitario",Colombia
Zotter,"Brazil, Mitzi Blue",486,2010,65%,Austria,3.0, ,Brazil
Luker,Macondo,552,2010,60%,Colombia,3.0, ,"Colombia, Ecuador"
iQ Chocolate,"Satipo region, white label",943,2012,72%,Scotland,2.75,Criollo,Peru
Pralus,Vanuatu,40,2006,75%,France,3.0,Trinitario,Vanuatu
Amedei,Toscano Black,75,2006,66%,Italy,4.0,Blend, 
Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,75%,France,3.25, ,Brazil
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3.5,Trinitario,Vietnam
Pascha,Peru,1137,2013,70%,Peru,2.75, ,Peru
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Danta,Las Acacias E.,423,2009,75%,Guatemala,3.0,Criollo,Guatemala
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, 
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5, ,Dominican Republic
Obolo,Pangoa,1638,2015,70%,Chile,3.75,Criollo,Peru
Starchild,Cacao Verapaz,1692,2015,70%,U.S.A.,3.0, ,Guatemala
Republica del Cacao (aka Confecta),Los Rios,170,2007,75%,Ecuador,3.75,Forastero (Arriba),Ecuador
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend, 
Scharffen Berger,Nibby,135,2007,62%,U.S.A.,3.0, , 
Zotter,"Satipo Pangoa region, 16hr conche",875,2012,70%,Austria,3.0,Criollo (Amarru),Peru
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80%,U.K.,3.0,Forastero (Nacional),Ecuador
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela
